REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,1,523,CLASSE CE1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,2,524,CLASSE CM2B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,3,523,CLASSE CI B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,1,522,CLASSE CE1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,2,525,CLASSE CM1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,3,524,CLASSE CE2 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,4,523,CLASSE CE1 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,1,581,CLASSE CP A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,2,580,CLASSE CM2 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,3,581,CLASSE CM2 B
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,1,541,SALLE DELIBERATIONS
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,2,540,BUREAU SECRETARIAT
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,3,539,SALLE 1 SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,4,539,SALLE 2 SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,5,537,BUREAU SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,1,559,ECOLE FANDALE SALLE DE CLASSE
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,2,483,ECOLE FANDALE CLASSE CE1
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,3,480,ECOLE FANDALE CLASSE CM2
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,1,555,CLASSE CP
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,2,552,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,3,272,CLASSE CE2 A
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,1,558,CLASSE CP
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,2,568,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,3,563,CLASSE CM2
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,4,393,CLASSE CM1
