REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,DAGANA,BOKHOL,ARRIVELE 1,1,440,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,ARRIVELE 2,1,122,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,BELEL GAOUDI,1,538,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,BELEL GAOUDI,2,63,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,BELEL HARMANABE,1,128,ABRI RPOVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,1,572,CLASSE CI
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,2,572,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,3,571,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,4,572,CLASSE CM 2
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,5,573,CLASSE CE1 A
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,6,572,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,DAR ES SALAM,1,218,CLSSE CI
SAINT LOUIS,DAGANA,BOKHOL,DIAVALEDJI,1,77,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,ECOLE KEUR MBAYE 2,1,177,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,ECOLE NGAMBOU THILLE,1,147,CLASSE CE2
SAINT LOUIS,DAGANA,BOKHOL,GALLODJINA 1,1,487,CLASSE CI
SAINT LOUIS,DAGANA,BOKHOL,GUEUM YALLA,1,261,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,GUIDAKHAR,1,308,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,GUIDAKHAR,2,308,SALLE DE CLASSE
SAINT LOUIS,DAGANA,BOKHOL,KEUR MALAL TALAB,1,586,CLASSE CE2
SAINT LOUIS,DAGANA,BOKHOL,KEUR MALAL TALAB,2,16,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE 1,1,526,CLASSE CE 2
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE NDIOGOU,1,201,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE PEULH,1,182,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,KEUR MOR IBRA,1,183,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,KHARE,1,408,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,LOUMBOUL SOUMANABE,1,366,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,MBILOR,1,411,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,MBILOR,2,410,CLASSE CE 2
SAINT LOUIS,DAGANA,BOKHOL,MERY,1,143,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,MERY,2,143,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,NDIODOUNE,1,83,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,SOVONABE 2,1,79,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,SOVONABE VENDOU FANDOU,1,142,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,TOUCOULEUR DJIDIERI,1,399,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,VINDOU FANDOU SAM,1,79,CLASSE CM 1
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,1,578,CLASSE CM2A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,2,567,CLASSE CM1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,3,577,CLASSE CE2B
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,4,569,CLASSE CE1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,5,574,CLASSE CPA
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,6,569,CLASSE CIA
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,7,554,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,8,549,SALLE DE CLASSE
